Input function with masked if condition,Prediction correct (true/false),Expected if condition,Predicted if condition,CodeBLEU prediction score (0-100),BLEU-4 prediction score (0-100)
"def _replicator_primary_device() -> snt_replicator.Replicator: # NOTE: The explicit device list is required since currently Replicator # only considers CPU and GPU devices. This means on TPU by default we only # mirror on the local CPU. for device_type in (""TPU"", ""GPU"", ""CPU""): devices = tf.config.experimental.list_logical_devices(device_type=device_type) if devices: devices = [d.name for d in devices] logging.info(""Replicating over %s"", devices) return snt_replicator.Replicator(devices=devices) assert False, ""No TPU/GPU or CPU found""",false,if devices :,devices)= tf.config.experimental.list_logical_devices(device_type=device_type) ifdevices:,66.67,1.79
"def get_tag_values(self, event): http = event.interfaces.get(""sentry.interfaces.Http"") if not http: return [] if not http.headers: return [] headers = http.headers # XXX: transitional support for workers if isinstance(headers, dict): headers = headers.items() output = [] for key, value in headers: if key != ""User-Agent"": continue ua = Parse(value) if not ua: continue result = self.get_tag_from_ua(ua) if result: output.append(result) return output",false,"if key != ""User-Agent"" :",===============,10.0,2.63
"def general(metadata, value): if metadata.get(""commands"") and value: if not metadata.get(""nargs""): v = quote(value) else: v = value return u""{0} {1}"".format(metadata[""commands""][0], v) else: if not value: return None elif not metadata.get(""nargs""): return quote(value) else: return value",false,"if not metadata . get ( ""nargs"" ) :",value:,9.09,0.0
"def _actions_read(self, c): self.action_input.handle_read(c) if c in [curses.KEY_ENTER, util.KEY_ENTER2]: # take action if self.action_input.selected_index == 0: # Cancel self.back_to_parent() elif self.action_input.selected_index == 1: # Apply self._apply_prefs() client.core.get_config().addCallback(self._update_preferences) elif self.action_input.selected_index == 2: # OK self._apply_prefs() self.back_to_parent()",false,elif self . action_input . selected_index == 2 :,self.back_to_parent()self.back_to_parent()self.back_to_parent()self.,30.0,3.24
def logic(): if reset == 1: lfsr.next = 1 else: if enable: # lfsr.next[24:1] = lfsr[23:0] lfsr.next = lfsr << 1 lfsr.next[0] = lfsr[23] ^ lfsr[22] ^ lfsr[21] ^ lfsr[16],false,if enable :,lfsr[0]lfsr[0]lfsr[1]lfsr[0]l,0.0,0.0
"def action_delete(self, request, attachments): deleted_attachments = [] desynced_posts = [] for attachment in attachments: if attachment.post: deleted_attachments.append(attachment.pk) desynced_posts.append(attachment.post_id) if desynced_posts: with transaction.atomic(): for post in Post.objects.filter(id__in=desynced_posts): self.delete_from_cache(post, deleted_attachments) for attachment in attachments: attachment.delete() message = _(""Selected attachments have been deleted."") messages.success(request, message)",false,if attachment . post :,attachments.delete() for attachment inattachments.delete() for attachment inattachments.delete() for attachment inattachments.delete() for,40.0,1.65
"def __getitem__(self, index): if self._check(): if isinstance(index, int): if index < 0 or index >= len(self.features): raise IndexError(index) if self.features[index] is None: feature = self.device.feature_request(FEATURE.FEATURE_SET, 0x10, index) if feature: (feature,) = _unpack(""!H"", feature[:2]) self.features[index] = FEATURE[feature] return self.features[index] elif isinstance(index, slice): indices = index.indices(len(self.features)) return [self.__getitem__(i) for i in range(*indices)]",false,"elif isinstance ( index , slice ) :","=self.device.feature_request(FEATURE.FEATURE_SET, 0x10, index):self.device.feature_",62.5,3.63
"def _skip_start(self): start, stop = self.start, self.stop for chunk in self.app_iter: self._pos += len(chunk) if self._pos < start: continue elif self._pos == start: return b"""" else: chunk = chunk[start - self._pos :] if stop is not None and self._pos > stop: chunk = chunk[: stop - self._pos] assert len(chunk) == stop - start return chunk else: raise StopIteration()",false,if self . _pos < start :,=chunk:self._pos,57.14,37.68
"def get_files(d): f = [] for root, dirs, files in os.walk(d): for name in files: if ""meta-environment"" in root or ""cross-canadian"" in root: continue if ""qemux86copy-"" in root or ""qemux86-"" in root: continue if ""do_build"" not in name and ""do_populate_sdk"" not in name: f.append(os.path.join(root, name)) return f",false,"if ""meta-environment"" in root or ""cross-canadian"" in root :",f:name):f:f:f:,5.88,3.12
"def _load_windows_store_certs(self, storename, purpose): certs = bytearray() try: for cert, encoding, trust in enum_certificates(storename): # CA certs are never PKCS#7 encoded if encoding == ""x509_asn"": if trust is True or purpose.oid in trust: certs.extend(cert) except PermissionError: warnings.warn(""unable to enumerate Windows certificate store"") if certs: self.load_verify_locations(cadata=certs) return certs",false,"if encoding == ""x509_asn"" :",certs:cert,12.5,0.0
"def test_tokenizer_identifier_with_correct_config(self): for tokenizer_class in [BertTokenizer, BertTokenizerFast, AutoTokenizer]: tokenizer = tokenizer_class.from_pretrained(""wietsedv/bert-base-dutch-cased"") self.assertIsInstance(tokenizer, (BertTokenizer, BertTokenizerFast)) if isinstance(tokenizer, BertTokenizer): self.assertEqual(tokenizer.basic_tokenizer.do_lower_case, False) else: self.assertEqual(tokenizer.do_lower_case, False) self.assertEqual(tokenizer.model_max_length, 512)",false,"if isinstance ( tokenizer , BertTokenizer ) :","self.assertEqual(tokenizer.basic_tokenizer.do_lower_case, True)self.assertEqual(tokenizer",50.0,3.92
"def run(self): global WAITING_BEFORE_START time.sleep(WAITING_BEFORE_START) while self.keep_alive: path_id, module, resolve = self.queue_receive.get() if path_id is None: continue self.lock.acquire() self.modules[path_id] = module self.lock.release() if resolve: resolution = self._resolve_with_other_modules(resolve) self._relations[path_id] = [] for package in resolution: self._relations[path_id].append(resolution[package]) self.queue_send.put((path_id, module, False, resolution))",false,if resolve :,=self.queue_receive.get()self.queue_receive.get()self.queue_receive.get(),0.0,0.0
"def __new__(mcs, name, bases, attrs): include_profile = include_trace = include_garbage = True bases = list(bases) if name == ""SaltLoggingClass"": for base in bases: if hasattr(base, ""trace""): include_trace = False if hasattr(base, ""garbage""): include_garbage = False if include_profile: bases.append(LoggingProfileMixin) if include_trace: bases.append(LoggingTraceMixin) if include_garbage: bases.append(LoggingGarbageMixin) return super(LoggingMixinMeta, mcs).__new__(mcs, name, tuple(bases), attrs)",false,"if hasattr ( base , ""garbage"" ) :","name, bases, attrs):bases.append(LoggingMixin) ifbases.append(LoggingMixin) ifbases.append(",40.0,3.92
"def __str__(self, prefix="""", printElemNumber=0): res = """" if self.has_owner_: res += prefix + (""owner: %s\n"" % self.DebugFormatString(self.owner_)) cnt = 0 for e in self.entries_: elm = """" if printElemNumber: elm = ""(%d)"" % cnt res += prefix + (""entries%s <\n"" % elm) res += e.__str__(prefix + "" "", printElemNumber) res += prefix + "">\n"" cnt += 1 return res",false,if printElemNumber :,"res +=prefix+""""""""""""""""""""""",0.0,0.0
"def parse_tag(self): buf = [] escaped = False for c in self.get_next_chars(): if escaped: buf.append(c) elif c == ""\\"": escaped = True elif c == "">"": return """".join(buf) else: buf.append(c) raise Exception(""Unclosed tag "" + """".join(buf))",false,"elif c == "">"" :",buf.append(c),12.5,5.82
"def get_batches(train_nodes, train_labels, batch_size=64, shuffle=True): if shuffle: random.shuffle(train_nodes) total = train_nodes.shape[0] for i in range(0, total, batch_size): if i + batch_size <= total: cur_nodes = train_nodes[i : i + batch_size] cur_labels = train_labels[cur_nodes] yield cur_nodes, cur_labels",false,if i + batch_size <= total :,==,12.5,0.0
"def _get_all_info_lines(data): infos = [] for row in data: splitrow = row.split() if len(splitrow) > 0: if splitrow[0] == ""INFO:"": infos.append("" "".join(splitrow[1:])) return infos",false,"if splitrow [ 0 ] == ""INFO:"" :",=,8.33,0.0
